# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 24 14:02:02 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_dist,sy_vmag
Kepler-221 b,Kepler-221,b,1,1,4,2.79590600,0.037000,1.710,,,,5243.00,0.82,,,296.6547477,46.8352242,385.2310000,13.9700000
Kepler-221 c,Kepler-221,c,1,1,4,5.69058600,0.059000,2.930,,,,5243.00,0.82,,,296.6547477,46.8352242,385.2310000,13.9700000
Kepler-221 d,Kepler-221,d,1,1,4,10.04156000,0.087000,2.730,,,,5243.00,0.82,,,296.6547477,46.8352242,385.2310000,13.9700000
Kepler-221 e,Kepler-221,e,1,1,4,18.36991700,0.130000,2.630,,,,5243.00,0.82,,,296.6547477,46.8352242,385.2310000,13.9700000
Kepler-222 b,Kepler-222,b,1,1,3,3.93698100,0.048000,3.160,,,,5433.00,0.87,,,287.9060885,46.9377479,758.8540000,15.4070000
Kepler-222 c,Kepler-222,c,1,1,3,10.08881000,0.091000,4.640,,,,5433.00,0.87,,,287.9060885,46.9377479,758.8540000,15.4070000
Kepler-222 d,Kepler-222,d,1,1,3,28.08191200,0.180000,3.690,,,,5433.00,0.87,,,287.9060885,46.9377479,758.8540000,15.4070000
Kepler-223 b,Kepler-223,b,1,1,4,7.38449000,,2.990,7.40000,0.078000,,,1.72,1.12,,298.3183909,47.2794824,1859.7100000,15.6900000
Kepler-223 c,Kepler-223,c,1,1,4,9.84564000,,3.440,5.10000,0.150000,,,1.72,1.12,,298.3183909,47.2794824,1859.7100000,15.6900000
Kepler-223 d,Kepler-223,d,1,1,4,14.78869000,,5.240,8.00000,0.037000,,,1.72,1.12,,298.3183909,47.2794824,1859.7100000,15.6900000
Kepler-223 e,Kepler-223,e,1,1,4,19.72567000,,4.600,4.80000,0.051000,,,1.72,1.12,,298.3183909,47.2794824,1859.7100000,15.6900000
Kepler-224 b,Kepler-224,b,1,1,4,3.13292400,0.038000,1.390,,,,5018.00,0.68,,,290.9342679,47.3575414,782.0880000,15.8010000
Kepler-224 c,Kepler-224,c,1,1,4,5.92500300,0.058000,3.120,,,,5018.00,0.68,,,290.9342679,47.3575414,782.0880000,15.8010000
Kepler-224 d,Kepler-224,d,1,1,4,11.34939300,0.089000,2.300,,,,5018.00,0.68,,,290.9342679,47.3575414,782.0880000,15.8010000
Kepler-224 e,Kepler-224,e,1,1,4,18.64357700,0.124000,1.970,,,,5018.00,0.68,,,290.9342679,47.3575414,782.0880000,15.8010000
Kepler-225 b,Kepler-225,b,1,1,2,6.73897500,0.056000,1.200,,,,3682.00,0.48,,,292.1939846,47.4570808,561.1010000,16.2940000
Kepler-225 c,Kepler-225,c,1,1,2,18.79423400,0.111000,1.840,,,,3682.00,0.48,,,292.1939846,47.4570808,561.1010000,16.2940000
Kepler-226 b,Kepler-226,b,1,1,3,3.94099700,0.047000,1.550,,,,5571.00,0.80,,,292.3760942,47.8809596,980.1380000,15.5630000
Kepler-226 c,Kepler-226,c,1,1,3,5.34955500,0.058000,2.270,,,,5571.00,0.80,,,292.3760942,47.8809596,980.1380000,15.5630000
Kepler-226 d,Kepler-226,d,1,1,3,8.10904400,0.076000,1.220,,,,5571.00,0.80,,,292.3760942,47.8809596,980.1380000,15.5630000
Kepler-227 b,Kepler-227,b,1,1,2,9.48801500,0.090000,3.110,,,,5854.00,1.09,,,291.9342748,48.1416760,1083.0600000,15.6230000
Kepler-227 c,Kepler-227,c,1,1,2,54.41869400,0.290000,3.040,,,,5854.00,1.09,,,291.9342748,48.1416760,1083.0600000,15.6230000
Kepler-228 b,Kepler-228,b,1,1,3,2.56654600,0.038000,1.530,,,,6043.00,1.01,,,296.2860853,48.2246328,1644.6100000,15.9020000
Kepler-228 c,Kepler-228,c,1,1,3,4.13444400,0.052000,2.700,,,,6043.00,1.01,,,296.2860853,48.2246328,1644.6100000,15.9020000
Kepler-228 d,Kepler-228,d,1,1,3,11.09428600,0.101000,4.040,,,,6043.00,1.01,,,296.2860853,48.2246328,1644.6100000,15.9020000
Kepler-229 b,Kepler-229,b,1,1,3,6.25297200,0.062000,2.200,,,,5120.00,0.73,,,286.9994758,48.3757867,826.2650000,16.2200000
Kepler-229 c,Kepler-229,c,1,1,3,16.06863800,0.117000,4.920,,,,5120.00,0.73,,,286.9994758,48.3757867,826.2650000,16.2200000
Kepler-229 d,Kepler-229,d,1,1,3,41.19491200,0.220000,3.850,,,,5120.00,0.73,,,286.9994758,48.3757867,826.2650000,16.2200000
Kepler-23 b,Kepler-23,b,1,1,3,7.10000000,,1.638,2.56000,0.017000,,5828.00,1.55,1.08,,294.2189131,49.4792536,835.7560000,13.5670000
Kepler-23 c,Kepler-23,c,1,1,3,10.74000000,,3.005,7.81000,0.021000,,5828.00,1.55,1.08,,294.2189131,49.4792536,835.7560000,13.5670000
Kepler-23 d,Kepler-23,d,1,1,3,15.27000000,,2.206,4.44000,0.010000,,5828.00,1.55,1.08,,294.2189131,49.4792536,835.7560000,13.5670000
Kepler-230 b,Kepler-230,b,1,1,2,32.62555500,0.191000,4.260,,,,5588.00,0.82,,,285.7185682,48.5058038,740.7540000,15.2640000
Kepler-230 c,Kepler-230,c,1,1,2,91.77324200,0.380000,2.040,,,,5588.00,0.82,,,285.7185682,48.5058038,740.7540000,15.2640000
Kepler-231 b,Kepler-231,b,1,1,2,10.06527500,0.074000,1.730,,,,3767.00,0.49,,,293.9733913,50.5318460,316.6180000,15.8130000
Kepler-231 c,Kepler-231,c,1,1,2,19.27156600,0.114000,1.930,,,,3767.00,0.49,,,293.9733913,50.5318460,316.6180000,15.8130000
Kepler-232 b,Kepler-232,b,1,1,2,4.43122200,0.054000,3.080,,,,5847.00,0.97,,,295.8161668,51.1217249,1349.1300000,15.5650000
Kepler-232 c,Kepler-232,c,1,1,2,11.37934900,0.101000,3.830,,,,5847.00,0.97,,,295.8161668,51.1217249,1349.1300000,15.5650000
Kepler-233 b,Kepler-233,b,1,1,2,8.47238200,0.077000,2.430,,,,5360.00,0.76,,,296.3665054,51.3194548,856.4170000,15.4770000
Kepler-233 c,Kepler-233,c,1,1,2,60.41895500,0.287000,2.710,,,,5360.00,0.76,,,296.3665054,51.3194548,856.4170000,15.4770000
Kepler-234 b,Kepler-234,b,1,1,2,2.71150600,0.040000,3.700,,,,6224.00,1.11,,,291.6535379,38.4946597,1733.1000000,15.7470000
Kepler-234 c,Kepler-234,c,1,1,2,7.21205000,0.077000,3.510,,,,6224.00,1.11,,,291.6535379,38.4946597,1733.1000000,15.7470000
Kepler-235 b,Kepler-235,b,1,1,4,3.34022200,0.037000,2.230,,,,4255.00,0.55,,,286.0790779,39.2782370,428.0180000,16.5670000
Kepler-235 c,Kepler-235,c,1,1,4,7.82490400,0.065000,1.280,,,,4255.00,0.55,,,286.0790779,39.2782370,428.0180000,16.5670000
Kepler-235 d,Kepler-235,d,1,1,4,20.06054800,0.122000,2.050,,,,4255.00,0.55,,,286.0790779,39.2782370,428.0180000,16.5670000
Kepler-235 e,Kepler-235,e,1,1,4,46.18366900,0.213000,2.220,,,,4255.00,0.55,,,286.0790779,39.2782370,428.0180000,16.5670000
Kepler-236 b,Kepler-236,b,1,1,2,8.29561100,0.065000,1.570,,,,3750.00,0.51,,,283.8664285,39.8981928,288.7630000,16.0140000
Kepler-236 c,Kepler-236,c,1,1,2,23.96812700,0.132000,2.000,,,,3750.00,0.51,,,283.8664285,39.8981928,288.7630000,16.0140000
Kepler-237 b,Kepler-237,b,1,1,2,4.71510600,0.050000,1.410,,,,4861.00,0.72,,,283.2213438,40.4217620,657.8220000,15.6890000
Kepler-237 c,Kepler-237,c,1,1,2,8.10363600,0.071000,2.080,,,,4861.00,0.72,,,283.2213438,40.4217620,657.8220000,15.6890000
Kepler-238 b,Kepler-238,b,1,1,5,2.09087600,0.034000,1.730,,,,5751.00,1.43,,,287.8971066,40.6378141,1798.7500000,15.2970000
Kepler-238 c,Kepler-238,c,1,1,5,6.15555700,0.069000,2.390,,,,5751.00,1.43,,,287.8971066,40.6378141,1798.7500000,15.2970000
Kepler-238 d,Kepler-238,d,1,1,5,13.23354900,0.115000,3.070,,,,5751.00,1.43,,,287.8971066,40.6378141,1798.7500000,15.2970000
Kepler-238 e,Kepler-238,e,1,1,5,23.65400000,,5.600,169.70000,,,,0.96,1.06,,287.8971066,40.6378141,1798.7500000,15.2970000
Kepler-238 f,Kepler-238,f,1,1,5,50.44700000,,2.000,13.50000,,,,0.96,1.06,,287.8971066,40.6378141,1798.7500000,15.2970000
Kepler-239 b,Kepler-239,b,1,1,2,11.76305100,0.095000,2.330,,,,4914.00,0.76,,,294.2020505,40.6633313,648.1090000,15.2520000
Kepler-239 c,Kepler-239,c,1,1,2,56.22809800,0.268000,2.510,,,,4914.00,0.76,,,294.2020505,40.6633313,648.1090000,15.2520000
Kepler-24 b,Kepler-24,b,1,1,4,8.14000000,,2.348,11.14000,0.023000,,6028.00,1.10,1.06,,290.4132621,38.3437283,1156.8100000,15.0400000
Kepler-24 c,Kepler-24,c,1,1,4,12.33000000,,2.514,9.99000,0.014000,,6028.00,1.10,1.06,,290.4132621,38.3437283,1156.8100000,15.0400000
Kepler-24 d,Kepler-24,d,1,1,4,4.24438400,0.051000,1.670,,,,5897.00,1.29,,,290.4132621,38.3437283,1156.8100000,15.0400000
Kepler-24 e,Kepler-24,e,1,1,4,18.99835500,0.138000,2.780,,,,5897.00,1.29,,,290.4132621,38.3437283,1156.8100000,15.0400000
Kepler-240 b,Kepler-240,b,1,1,2,4.14449500,0.048000,1.370,,,,4985.00,0.74,,,291.1587635,40.7502108,746.9270000,15.9530000
Kepler-240 c,Kepler-240,c,1,1,2,7.95352800,0.074000,2.200,,,,4985.00,0.74,,,291.1587635,40.7502108,746.9270000,15.9530000
Kepler-241 b,Kepler-241,b,1,1,2,12.71809200,0.094000,2.330,,,,4699.00,0.67,,,292.9131121,41.0609786,,15.7080000
Kepler-241 c,Kepler-241,c,1,1,2,36.06597800,0.189000,2.570,,,,4699.00,0.67,,,292.9131121,41.0609786,,15.7080000
Kepler-242 b,Kepler-242,b,1,1,2,8.20395000,0.075000,2.610,,,,5020.00,0.85,,,286.5656932,41.8084168,600.2410000,15.4890000
Kepler-242 c,Kepler-242,c,1,1,2,14.49648100,0.109000,2.000,,,,5020.00,0.85,,,286.5656932,41.8084168,600.2410000,15.4890000
Kepler-243 b,Kepler-243,b,1,1,2,5.71544200,0.062000,2.450,,,,5228.00,0.84,,,285.1104819,42.0339619,693.8600000,15.1590000
Kepler-243 c,Kepler-243,c,1,1,2,20.02621800,0.142000,1.990,,,,5228.00,0.84,,,285.1104819,42.0339619,693.8600000,15.1590000
Kepler-244 b,Kepler-244,b,1,1,3,4.31179200,0.050000,2.760,,,,5554.00,0.80,,,287.2426410,42.3014185,1036.4900000,15.7470000
Kepler-244 c,Kepler-244,c,1,1,3,9.76729200,0.087000,2.050,,,,5554.00,0.80,,,287.2426410,42.3014185,1036.4900000,15.7470000
Kepler-244 d,Kepler-244,d,1,1,3,20.05040100,0.140000,2.310,,,,5554.00,0.80,,,287.2426410,42.3014185,1036.4900000,15.7470000
Kepler-245 b,Kepler-245,b,1,1,4,7.49019000,0.071000,2.570,,,,5100.00,0.80,,,291.6389972,42.4363482,861.5270000,15.5460000
Kepler-245 c,Kepler-245,c,1,1,4,17.46081200,0.124000,2.180,,,,5100.00,0.80,,,291.6389972,42.4363482,861.5270000,15.5460000
Kepler-245 d,Kepler-245,d,1,1,4,36.27710800,0.202000,3.030,,,,5100.00,0.80,,,291.6389972,42.4363482,861.5270000,15.5460000
Kepler-245 e,Kepler-245,e,1,1,4,3.21982106,,1.750,,,,5174.00,0.80,0.86,,291.6389972,42.4363482,861.5270000,15.5460000
Kepler-246 b,Kepler-246,b,1,1,2,4.60182000,0.052000,2.340,,,,5206.00,0.83,,,296.4834007,42.6633806,626.0780000,15.1970000
Kepler-246 c,Kepler-246,c,1,1,2,11.18716100,0.095000,1.500,,,,5206.00,0.83,,,296.4834007,42.6633806,626.0780000,15.1970000
Kepler-247 b,Kepler-247,b,1,1,3,3.33616000,0.042000,1.640,,,,5100.00,0.77,,,288.6425609,43.0393769,663.7110000,15.1990000
Kepler-247 c,Kepler-247,c,1,1,3,9.43945200,0.084000,4.090,,,,5100.00,0.77,,,288.6425609,43.0393769,663.7110000,15.1990000
Kepler-247 d,Kepler-247,d,1,1,3,20.47791200,0.140000,3.940,,,,5100.00,0.77,,,288.6425609,43.0393769,663.7110000,15.1990000
Kepler-248 b,Kepler-248,b,1,1,2,6.30820500,0.066000,3.020,,,,5190.00,0.83,,,293.0613138,43.5813577,738.7920000,15.5060000
Kepler-248 c,Kepler-248,c,1,1,2,16.23949400,0.123000,4.070,,,,5190.00,0.83,,,293.0613138,43.5813577,738.7920000,15.5060000
Kepler-249 b,Kepler-249,b,1,1,3,3.30653900,0.035000,1.090,,,,3568.00,0.48,,,296.9853002,43.6586043,190.4010000,16.3700000
Kepler-249 c,Kepler-249,c,1,1,3,7.11370200,0.058000,1.510,,,,3568.00,0.48,,,296.9853002,43.6586043,190.4010000,16.3700000
Kepler-249 d,Kepler-249,d,1,1,3,15.36845900,0.097000,1.570,,,,3568.00,0.48,,,296.9853002,43.6586043,190.4010000,16.3700000
Kepler-25 b,Kepler-25,b,1,2,3,6.23829700,,2.748,8.70000,0.002900,,,1.32,1.17,,286.6383905,39.4879038,243.2490000,10.7690000
Kepler-25 c,Kepler-25,c,1,2,3,12.72070000,,5.217,15.20000,0.006100,,,1.32,1.17,,286.6383905,39.4879038,243.2490000,10.7690000
Kepler-25 d,Kepler-25,d,1,2,3,122.40000000,,,71.90000,0.130000,,,1.32,1.17,,286.6383905,39.4879038,243.2490000,10.7690000
Kepler-250 b,Kepler-250,b,1,1,3,4.14814100,0.048000,1.130,,,,5160.00,0.81,,,289.5947633,44.1418114,760.5850000,15.8190000
Kepler-250 c,Kepler-250,c,1,1,3,7.15680400,0.069000,2.280,,,,5160.00,0.81,,,289.5947633,44.1418114,760.5850000,15.8190000
Kepler-250 d,Kepler-250,d,1,1,3,17.64831200,0.127000,2.180,,,,5160.00,0.81,,,289.5947633,44.1418114,760.5850000,15.8190000
Kepler-251 b,Kepler-251,b,1,1,4,4.79093600,0.053000,1.330,,,,5526.00,0.89,,,296.5662171,44.1058077,924.6250000,15.5410000
Kepler-251 c,Kepler-251,c,1,1,4,16.51404300,0.122000,2.770,,,,5526.00,0.89,,,296.5662171,44.1058077,924.6250000,15.5410000
Kepler-251 d,Kepler-251,d,1,1,4,30.13300100,0.182000,2.770,,,,5526.00,0.89,,,296.5662171,44.1058077,924.6250000,15.5410000
Kepler-251 e,Kepler-251,e,1,1,4,99.64016100,0.404000,2.770,,,,5526.00,0.89,,,296.5662171,44.1058077,924.6250000,15.5410000
Kepler-252 b,Kepler-252,b,1,1,2,6.66839100,0.058000,1.230,,,,4208.00,0.55,,,295.5793290,44.5459052,379.4240000,15.4060000
Kepler-252 c,Kepler-252,c,1,1,2,10.84846300,0.080000,2.150,,,,4208.00,0.55,,,295.5793290,44.5459052,379.4240000,15.4060000
Kepler-253 b,Kepler-253,b,1,1,3,3.78398600,0.046000,1.630,,,,5208.00,0.79,,,291.8419337,44.8581240,838.5950000,15.7780000
Kepler-253 c,Kepler-253,c,1,1,3,10.28195100,0.089000,2.650,,,,5208.00,0.79,,,291.8419337,44.8581240,838.5950000,15.7780000
Kepler-253 d,Kepler-253,d,1,1,3,18.11986900,0.130000,3.170,,,,5208.00,0.79,,,291.8419337,44.8581240,838.5950000,15.7780000
Kepler-254 b,Kepler-254,b,1,1,3,5.82666200,0.064000,3.870,,,,5957.00,0.91,,,288.1646541,45.8164257,1389.4800000,16.0120000
Kepler-254 c,Kepler-254,c,1,1,3,12.41218300,0.105000,2.150,,,,5957.00,0.91,,,288.1646541,45.8164257,1389.4800000,16.0120000
Kepler-254 d,Kepler-254,d,1,1,3,18.74647700,0.139000,2.500,,,,5957.00,0.91,,,288.1646541,45.8164257,1389.4800000,16.0120000
Kepler-255 b,Kepler-255,b,1,1,3,5.71460600,0.063000,1.550,,,,5573.00,0.93,,,296.0642702,45.9767647,1052.5300000,15.6990000
Kepler-255 c,Kepler-255,c,1,1,3,9.94604700,0.092000,2.990,,,,5573.00,0.93,,,296.0642702,45.9767647,1052.5300000,15.6990000
Kepler-255 d,Kepler-255,d,1,1,3,1.04562266,,1.320,,,,5431.00,0.86,0.90,,296.0642702,45.9767647,1052.5300000,15.6990000
Kepler-256 b,Kepler-256,b,1,1,4,1.62049300,0.027000,1.590,,,,5551.00,1.30,,,292.5804200,46.0973588,1026.4300000,15.1780000
Kepler-256 c,Kepler-256,c,1,1,4,3.38802000,0.045000,2.150,,,,5551.00,1.30,,,292.5804200,46.0973588,1026.4300000,15.1780000
Kepler-256 d,Kepler-256,d,1,1,4,5.83917200,0.064000,2.480,,,,5551.00,1.30,,,292.5804200,46.0973588,1026.4300000,15.1780000
Kepler-256 e,Kepler-256,e,1,1,4,10.68157200,0.096000,2.350,,,,5551.00,1.30,,,292.5804200,46.0973588,1026.4300000,15.1780000
Kepler-257 b,Kepler-257,b,1,1,3,2.38266700,0.034000,2.610,,,,5180.00,1.04,,,297.3159994,46.0232642,780.2560000,15.6520000
Kepler-257 c,Kepler-257,c,1,1,3,6.58148400,0.066000,5.410,,,,5180.00,1.04,,,297.3159994,46.0232642,780.2560000,15.6520000
Kepler-257 d,Kepler-257,d,1,1,3,24.66455100,0.160000,4.950,,,,5180.00,1.04,,,297.3159994,46.0232642,780.2560000,15.6520000
Kepler-258 b,Kepler-258,b,1,1,2,13.19722000,0.103000,4.060,,,,4942.00,0.92,,,294.0684116,46.5791357,575.9880000,15.4900000
Kepler-258 c,Kepler-258,c,1,1,2,33.65307900,0.193000,3.610,,,,4942.00,0.92,,,294.0684116,46.5791357,575.9880000,15.4900000
Kepler-259 b,Kepler-259,b,1,1,2,8.11531700,0.079000,2.800,,,,5938.00,0.90,,,288.2119707,46.6150461,1002.1400000,15.3780000
Kepler-259 c,Kepler-259,c,1,1,2,36.92493100,0.217000,2.700,,,,5938.00,0.90,,,288.2119707,46.6150461,1002.1400000,15.3780000
Kepler-26 b,Kepler-26,b,1,1,4,12.28000000,,2.780,5.12000,,,3914.00,0.51,0.54,,284.9410627,46.5664505,335.3070000,15.8530000
Kepler-26 c,Kepler-26,c,1,1,4,17.25590000,,2.720,6.20000,,,3914.00,0.51,0.54,,284.9410627,46.5664505,335.3070000,15.8530000
Kepler-26 d,Kepler-26,d,1,1,4,3.54391900,0.039000,1.070,,,,4486.00,0.57,,,284.9410627,46.5664505,335.3070000,15.8530000
Kepler-26 e,Kepler-26,e,1,1,4,46.82791500,0.220000,2.410,,,,4486.00,0.57,,,284.9410627,46.5664505,335.3070000,15.8530000
Kepler-260 b,Kepler-260,b,1,1,2,8.18739900,0.075000,2.010,,,,5250.00,0.86,,,291.9259658,38.0140525,627.3650000,14.2530000
Kepler-260 c,Kepler-260,c,1,1,2,76.05017800,0.332000,1.740,,,,5250.00,0.86,,,291.9259658,38.0140525,627.3650000,14.2530000
Kepler-261 b,Kepler-261,b,1,1,2,10.38122700,0.088000,2.180,,,,5098.00,0.79,,,291.3647333,37.6092390,317.4990000,13.7380000
Kepler-261 c,Kepler-261,c,1,1,2,24.57085800,0.156000,2.000,,,,5098.00,0.79,,,291.3647333,37.6092390,317.4990000,13.7380000
Kepler-262 b,Kepler-262,b,1,1,2,13.06085500,0.108000,1.360,,,,5841.00,0.88,,,290.7287168,37.2526575,613.1290000,14.4780000
Kepler-262 c,Kepler-262,c,1,1,2,21.85372200,0.152000,1.640,,,,5841.00,0.88,,,290.7287168,37.2526575,613.1290000,14.4780000
Kepler-263 b,Kepler-263,b,1,1,2,16.56808700,0.120000,2.670,,,,5265.00,0.79,,,292.4698022,37.5677941,754.7470000,15.4350000
Kepler-263 c,Kepler-263,c,1,1,2,47.33277300,0.242000,2.470,,,,5265.00,0.79,,,292.4698022,37.5677941,754.7470000,15.4350000
Kepler-264 b,Kepler-264,b,1,1,2,40.80623100,0.249000,3.330,,,,6158.00,1.55,,,292.0446280,37.3761861,942.1730000,13.1500000
Kepler-264 c,Kepler-264,c,1,1,2,140.10126100,0.566000,2.830,,,,6158.00,1.55,,,292.0446280,37.3761861,942.1730000,13.1500000
Kepler-265 b,Kepler-265,b,1,1,4,6.84626200,0.069000,1.860,,,,5835.00,1.10,,,290.5104788,41.2447430,1280.2500000,15.4700000
Kepler-265 c,Kepler-265,c,1,1,4,17.02893700,0.127000,2.630,,,,5835.00,1.10,,,290.5104788,41.2447430,1280.2500000,15.4700000
Kepler-265 d,Kepler-265,d,1,1,4,43.13061700,0.236000,2.490,,,,5835.00,1.10,,,290.5104788,41.2447430,1280.2500000,15.4700000
Kepler-265 e,Kepler-265,e,1,1,4,67.83102400,0.319000,2.590,,,,5835.00,1.10,,,290.5104788,41.2447430,1280.2500000,15.4700000
Kepler-266 b,Kepler-266,b,1,1,2,6.61833000,0.071000,2.480,,,,5885.00,1.03,,,294.4843821,44.1669355,1370.7900000,15.7870000
Kepler-266 c,Kepler-266,c,1,1,2,107.72360100,0.457000,3.890,,,,5885.00,1.03,,,294.4843821,44.1669355,1370.7900000,15.7870000
Kepler-267 b,Kepler-267,b,1,1,3,3.35372800,0.037000,1.980,,,,4258.00,0.56,,,299.8305655,47.1575741,264.9930000,16.6900000
Kepler-267 c,Kepler-267,c,1,1,3,6.87745000,0.060000,2.130,,,,4258.00,0.56,,,299.8305655,47.1575741,264.9930000,16.6900000
Kepler-267 d,Kepler-267,d,1,1,3,28.46451500,0.154000,2.270,,,,4258.00,0.56,,,299.8305655,47.1575741,264.9930000,16.6900000
Kepler-268 b,Kepler-268,b,1,1,2,25.93413800,0.180000,2.550,,,,6081.00,1.27,,,291.9761559,38.0550327,851.8700000,13.8440000
Kepler-268 c,Kepler-268,c,1,1,2,83.44639300,0.391000,3.380,,,,6081.00,1.27,,,291.9761559,38.0550327,851.8700000,13.8440000
Kepler-269 b,Kepler-269,b,1,1,2,5.32671800,0.061000,2.470,,,,5847.00,0.96,,,290.2151459,41.7759810,2257.3200000,15.6460000
Kepler-269 c,Kepler-269,c,1,1,2,8.12789900,0.081000,1.690,,,,5847.00,0.96,,,290.2151459,41.7759810,2257.3200000,15.6460000
Kepler-27 b,Kepler-27,b,1,1,3,15.33480000,0.118000,4.000,2895.31000,,,5400.00,0.59,0.65,,292.2367608,41.0858710,1044.3600000,15.8220000
Kepler-27 c,Kepler-27,c,1,1,3,31.33090000,0.191000,4.900,4385.87000,,,5400.00,0.59,0.65,,292.2367608,41.0858710,1044.3600000,15.8220000
Kepler-27 d,Kepler-27,d,1,1,3,6.54628992,,2.706,,,,5251.00,0.82,0.93,,292.2367608,41.0858710,1044.3600000,15.8220000
Kepler-270 b,Kepler-270,b,1,1,2,11.47609400,0.107000,2.010,,,,6067.00,1.46,,,282.2001207,44.4222795,948.7810000,13.9000000
Kepler-270 c,Kepler-270,c,1,1,2,25.26288700,0.180000,1.770,,,,6067.00,1.46,,,282.2001207,44.4222795,948.7810000,13.9000000
Kepler-271 b,Kepler-271,b,1,1,3,10.43547805,,1.230,,,,5555.00,0.87,0.90,,283.0029316,44.2841080,404.5420000,13.5780000
Kepler-271 c,Kepler-271,c,1,1,3,7.41086267,,0.950,,,,5555.00,0.87,0.90,,283.0029316,44.2841080,404.5420000,13.5780000
Kepler-271 d,Kepler-271,d,1,1,3,5.24972541,,0.660,,,,5555.00,0.87,0.90,,283.0029316,44.2841080,404.5420000,13.5780000
Kepler-272 b,Kepler-272,b,1,1,3,2.97135300,0.038000,1.430,,,,5297.00,0.93,,,299.1275257,47.5938319,889.6080000,14.8110000
Kepler-272 c,Kepler-272,c,1,1,3,6.05734200,0.061000,1.790,,,,5297.00,0.93,,,299.1275257,47.5938319,889.6080000,14.8110000
Kepler-272 d,Kepler-272,d,1,1,3,10.93730400,0.091000,2.250,,,,5297.00,0.93,,,299.1275257,47.5938319,889.6080000,14.8110000
Kepler-273 b,Kepler-273,b,1,1,2,2.93653200,0.037000,1.500,,,,5626.00,0.81,,,291.3021458,47.6976573,713.9640000,15.1000000
Kepler-273 c,Kepler-273,c,1,1,2,8.01492700,0.073000,1.980,,,,5626.00,0.81,,,291.3021458,47.6976573,713.9640000,15.1000000
Kepler-274 b,Kepler-274,b,1,1,2,11.63478800,0.101000,1.540,,,,6023.00,1.01,,,292.9227926,38.4772173,1333.6200000,15.2380000
Kepler-274 c,Kepler-274,c,1,1,2,33.19786100,0.204000,1.840,,,,6023.00,1.01,,,292.9227926,38.4772173,1333.6200000,15.2380000
Kepler-275 b,Kepler-275,b,1,1,3,10.30068200,0.098000,2.340,,,,6165.00,1.38,,,292.4797004,38.5149018,2034.2500000,15.2890000
Kepler-275 c,Kepler-275,c,1,1,3,16.08813400,0.132000,3.380,,,,6165.00,1.38,,,292.4797004,38.5149018,2034.2500000,15.2890000
Kepler-275 d,Kepler-275,d,1,1,3,35.67606200,0.224000,3.330,,,,6165.00,1.38,,,292.4797004,38.5149018,2034.2500000,15.2890000
Kepler-276 b,Kepler-276,b,1,1,3,14.12841000,0.119000,2.870,,,,6105.00,1.05,,,293.5681970,39.0363123,1144.8600000,15.4810000
Kepler-276 c,Kepler-276,c,1,1,3,31.88400000,,2.900,16.60000,,,,1.03,1.10,,293.5681970,39.0363123,1144.8600000,15.4810000
Kepler-276 d,Kepler-276,d,1,1,3,48.64800000,,2.800,16.30000,,,,1.03,1.10,,293.5681970,39.0363123,1144.8600000,15.4810000
Kepler-277 b,Kepler-277,b,1,1,2,17.32400000,,2.920,87.30000,,,,1.69,1.12,,286.5831894,39.0772582,976.6430000,13.5440000
Kepler-277 c,Kepler-277,c,1,1,2,33.00600000,,3.360,64.20000,,,,1.69,1.12,,286.5831894,39.0772582,976.6430000,13.5440000
Kepler-278 b,Kepler-278,b,1,1,2,30.16054600,0.207000,4.070,,,,4991.00,2.94,,,290.1072124,38.7022694,443.0300000,11.8110000
Kepler-278 c,Kepler-278,c,1,1,2,51.07877500,0.294000,3.590,,,,4991.00,2.94,,,290.1072124,38.7022694,443.0300000,11.8110000
Kepler-279 b,Kepler-279,b,1,1,3,12.30968100,0.112000,3.620,,,,6363.00,1.75,,,287.3912950,42.1948220,1037.4000000,13.6470000
Kepler-279 c,Kepler-279,c,1,1,3,35.73600000,,4.300,49.40000,,,,1.07,1.10,,287.3912950,42.1948220,1037.4000000,13.6470000
